close,high,low,open,volume,timestamp,volume_weighted_average_price,number_of_trades,ticker
73.8397,74.67,73.04,74.3147,6790801.0,1709269200000,73.7457,88065,CVS
255.87,256.375,251.47,252.96,1602648.0,1709269200000,254.5501,40898,DHR
171.29,171.35,169.04,170.62,708651,1709269200000,170.4811,18506,DRI
126.92,127.26,124.7,127.03,746693,1709269200000,126.2252,19660,DVA
367.85,368.82,361.33,365.92,1770435.0,1709269200000,365.4165,46566,DE
42.08,42.4,41.53,42.34,4839985.0,1709269200000,41.98,51795,DAL
33.27,33.525,32.18,33.06,2428921.0,1709269200000,33.1479,27256,XRAY
44.39,44.79,44.075,44.19,8803659.0,1709269200000,44.4428,73031,DVN
121.74,122.23,113.69,115,4058465.0,1709269200000,119.8066,67201,DXCM
185.2,185.78,183.02,183.8,1593626.0,1709269200000,185.0321,35530,FANG
150.8,150.8,146.18,146.53,1970530.0,1709269200000,149.3611,40235,DLR
120.81,121.48,120.43,120.7,1817549.0,1709269200000,120.9244,29604,DFS
149,150.77,143.89,145.7,3413552.0,1709269200000,149.1643,62384,DG
148,149.29,145.01,146.5,1626285.0,1709269200000,148.2564,29848,DLTR
44.85,47.62,44.17,47.62,12758512.0,1709269200000,45.0054,131366,D
447.23,449.48,444.69,448,353880,1709269200000,447.525,13866,DPZ
167.3,167.85,164.905,166.32,904223,1709269200000,167.0028,24276,DOV
55.65,56.23,55.55,55.99,3999938.0,1709269200000,55.8809,47866,DOW
152.85,153.09,148.376,149.44,1737596.0,1709269200000,151.352,34915,DHI
108.11,108.305,106.12,108.03,1132039.0,1709269200000,107.6924,25451,DTE
90.86,91.88,90.09,91.77,2604962.0,1709269200000,90.861,44701,DUK
69.56,69.98,68.86,68.93,1733658.0,1709269200000,69.6023,30256,DD
87.09,88.07,86.91,87.74,590945,1709269200000,87.3104,15371,EMN
292.16,294.435,288.81,289.52,1976874.0,1709269200000,292.8631,44036,ETN
48.0699,48.3,47.06,47.29,7656390.0,1709269200000,47.9841,77351,EBAY
225.51,226.325,222.65,224.09,795410,1709269200000,225.444,20818,ECL
66.55,67.83,66.37,67.78,1651844.0,1709269200000,66.7072,30931,EIX
85.22,85.74,83.61,84.42,2221859.0,1709269200000,85.0837,35320,EW
137.7536,141.28,137.7536,139.08,1406092.0,1709269200000,140.4928,31283,EA
499.11,501.25,492.06,501.25,783580,1709269200000,497.313,23500,ELV
784.8,784.8001,759.6,760.35,3842502.0,1709269200000,777.5061,133300,LLY
108.14,109.18,107.16,107.16,2864265.0,1709269200000,108.182,47827,EMR
129.95,130.92,123.43,127.31,2519946.0,1709269200000,128.3195,49633,ENPH
100.47,101.29,99.6,101.26,1039830.0,1709269200000,100.3026,23224,ETR
116.0001,116.73,114.86,115.34,2522285.0,1709269200000,116.2422,48485,EOG
306.83,307.8089,299.15,301.99,274595,1709269200000,305.2299,7931,EPAM
36.91,37.49,36.82,37.29,4543028.0,1709269200000,37.009,40544,EQT
270.98,272.3,267.82,271.1,720515,1709269200000,270.6275,18639,EFX
900.53,900.74,882.04,886.67,405620,1709269200000,894.8083,15223,EQIX
60.74,60.77,59.19,60.2,2030167.0,1709269200000,60.4405,23685,EQR
234.37,234.47,226.835,229.68,380037,1709269200000,232.0719,11010,ESS
148.89,150.25,144.35,147,1781273.0,1709269200000,148.2713,35915,EL
